gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
USP14,0.47153988500279453,3.794440637223344e-15,9.702979504269463,9.231439619266668,4.6600537723923835e-14
USP16,-0.4202868715252155,2.1254495890309723e-15,8.573473987497007,8.993760859022222,2.7137436717091876e-14
USP18,2.0103157078767806,3.5896456999109207e-25,6.200873905832336,4.190558197955555,1.6459136996785945e-23
USP19,-0.34019543850938483,9.64978030578478e-12,6.46810541702395,6.808300855533335,7.69560729858333e-11
USP2,-0.36549810714424424,0.050015584223434426,4.051588809233533,4.4170869163777775,0.09651316243840598
USP2-AS1,-0.0009549786844971209,0.9677353742032029,2.9789403451377248,2.979895323822222,0.9809403403229346
USP20,0.03402699701423817,0.6162396986356713,3.835079910658683,3.801052913644445,0.7282802623174539
USP21,-0.10656383961211002,0.2139017041643009,6.489496774832334,6.596060614444444,0.33061345614262005
USP22,0.13478050809700548,0.005593651276723671,9.674398703497005,9.5396181954,0.013389191361788825
USP24,-0.14259842780638543,0.02737615080408706,8.079230901526948,8.221829329333334,0.05651085622496499
USP25,-0.6115969848405873,1.8661618613045196e-14,7.793626335514969,8.405223320355557,2.11584655037896e-13
USP26,-0.0030686805914839077,0.5098154882683348,2.228586114964072,2.231654795555556,0.6367475501708335
USP27X,0.028445059255489902,0.6735451746468617,4.777897013922156,4.749451954666666,0.7722569924796481
USP27X-AS1,-0.009304124050033113,0.5396530559463222,2.339687375461078,2.348991499511111,0.6634282525885388
USP28,0.24466157711151304,0.005516521764225707,6.944997207467067,6.700335630355554,0.013230400206025594
USP29,-0.004945730113373958,0.4522043375130219,2.0903130533532934,2.0952587834666674,0.5840164395065445
USP3,0.03642560579454468,0.5740226283869554,8.745245399616767,8.708819793822222,0.6930679544851472
USP3-AS1,-0.08640550160612204,0.05766570901519501,2.8345379838383233,2.9209434854444454,0.10928447132176441
USP30,-0.8332770127780442,1.5669243428608167e-19,5.964663457688623,6.797940470466667,3.347453684841782e-18
USP30-AS1,0.10428204264297936,0.12134162699326105,3.663624146287425,3.5593421036444455,0.20658504543536074
USP31,0.6163514212883534,2.7584963257493185e-09,9.043060711377244,8.42670929008889,1.601888221653411e-08
USP32,0.2721490404954068,2.652341543802653e-06,9.235108794628742,8.962959754133335,1.0590850701955447e-05
USP32P2,0.3892885527097807,2.0763250126287664e-05,8.376632332443114,7.987343779733333,7.313164453347625e-05
USP33,-0.1261935786373929,0.0008880301522117899,9.628267137251497,9.75446071588889,0.0024485574695837253
USP34,0.01676110495276184,0.7902704796238762,10.125365386730538,10.108604281777776,0.8610083247436695
USP35,0.07793307297711216,0.43052758654983325,5.106789183221556,5.028856110244444,0.563605325330335
USP36,-0.10705410074264865,0.16967810596557087,6.221557264101796,6.328611364844445,0.2735010504466726
USP37,0.31290885944790325,1.9837676536286092e-05,6.216082121047903,5.9031732616,7.010905763828016e-05
USP38,-0.01463510077059027,0.8028550678119099,8.640687908407186,8.655323009177776,0.8700929844584933
USP39,0.38248676558775774,1.1087884587576943e-09,7.2292114846766475,6.84672471908889,6.75607987653157e-09
USP4,-0.7761499868380586,2.2859653347360545e-26,8.324601438473055,9.100751425311113,1.2248919639054081e-24
USP40,-0.016744782748769005,0.7696116214763578,6.1898498359401195,6.2065946186888885,0.845678316174194
USP42,0.44335523348516137,2.379994058639895e-06,6.545377367640717,6.102022134155556,9.558410402260979e-06
USP43,-0.09642338272974094,0.2306135229264509,6.466508907203592,6.562932289933333,0.35069696138670214
USP44,-0.008080223445243284,0.7210526291981796,2.343579022065868,2.351659245511111,0.8089934158317365
USP45,0.14913815319361312,0.02279623660243787,6.020550460526947,5.871412307333334,0.04798766155706859
USP46,-1.2670766936930136,3.2701159024425207e-16,6.921418050173653,8.188494743866666,4.607158365017541e-15
USP46-AS1,-0.6591921856259475,2.037121125748867e-07,3.0599203676407187,3.7191125532666662,9.348040785626569e-07
USP47,-0.2821192882906196,1.6855217190530683e-07,9.647674702976047,9.929793991266667,7.809788767098867e-07
USP48,-0.009261112506052882,0.858725799001016,9.059917530916168,9.069178643422221,0.9094027438622192
USP49,0.3826797816847636,4.426541883652833e-05,4.833906148173652,4.451226366488888,0.00014872140719233013
USP5,0.09044204147691293,0.26511832361708526,5.4728963899880245,5.382454348511112,0.3924047909729971
USP51,-0.09154391393359962,0.21743415168286934,3.021291394688623,3.1128353086222225,0.3347616843081926
USP53,-0.7864891586875578,1.4884782893805168e-19,7.741573994556886,8.528063153244444,3.1917884968159533e-18
USP54,-1.2816133012718565,1.072538935461991e-20,6.558516024928144,7.8401293262000005,2.6472158407087764e-19
USP6NL,-1.7491350687068534,1.814114460695167e-20,7.384595875982035,9.133730944688889,4.3056990519403967e-19
USP7,-0.38692462688888973,2.9242317220428364e-14,9.19789451,9.584819136888889,3.2276764257407703e-13
USP8,-0.10559462294025224,0.0067563304398396236,8.797709099904193,8.903303722844445,0.015910337635192527
USP9X,-0.09214248480958176,0.0176599001437982,9.886503614790419,9.9786460996,0.0381079425907859
USP9Y,-0.9454963254412503,0.01537940256665125,5.511290412736527,6.456786738177778,0.033659913021329695
USPL1,-0.13983211606746782,0.07146438782274014,7.154238720065867,7.294070836133335,0.13159800349169373
UST,0.5785051135164352,4.733553543058149e-05,4.652446649227545,4.07394153571111,0.00015857057842631107
UTF1,-0.0034538844501659227,0.7616134201930232,2.602258254305389,2.605712138755555,0.8396962800344744
UTP11L,0.20742367888929003,0.024107492250897675,8.453212274467067,8.245788595577777,0.050427813375437815
UTP14A,0.3516587139491687,1.009121891086562e-07,8.542096130526946,8.190437416577778,4.805142324258177e-07
UTP15,0.3693813748058554,0.00023118491537875066,6.2662302448503,5.896848870044445,0.0006966299043679461
UTP18,0.26009055563366523,1.9285961441758238e-06,9.62541372338922,9.365323167755555,7.839097491338221e-06
UTP20,0.3253966224786424,3.3708523141199444e-05,6.033870566011976,5.708473943533334,0.00011535312735127779
UTP23,0.40687178964271453,4.647826952791633e-07,8.451761216976047,8.044889427333333,2.042294616475371e-06
UTP3,-0.05834463794890432,0.3653450558957356,8.38031072878443,8.438655366733334,0.5010546591676815
UTP6,0.32129870536140714,3.257075297681542e-07,8.632059900850297,8.31076119548889,1.4609269321888584e-06
UTRN,-0.9094431224775796,2.386548604546038e-25,8.564429094233533,9.473872216711113,1.1143720831023133e-23
UTS2,0.07247124238123659,0.45900214145921603,2.806931279047904,2.7344600366666674,0.589998258235217
UTS2B,-0.0023179235504988682,0.5352828194789101,2.0277568769161682,2.030074800466667,0.6595191658415435
UTS2R,-0.0033664538200932626,0.5016801381278475,1.208614732491018,1.2119811863111112,0.6292315294575787
UTY,-0.1503290637654029,0.07975234484174276,5.608929821479042,5.759258885244445,0.14478565817496425
UVRAG,0.17450898255355796,0.14341737419467998,6.819527793664671,6.645018811111113,0.23833065555281124
UVSSA,-0.5741575804856938,5.220020238468349e-11,7.7735790377365275,8.347736618222221,3.752248289543067e-10
UXS1,0.5483954197020608,7.255816786946532e-12,8.804457825413174,8.256062405711113,5.9016383962082e-11
